Trajectories,kNN_chunk_index,kNN_chunk_offset,kDTree_chunk_index,kDTree_chunk_offset,kMeans_chunk_index,kMeans_chunk_offset
"[Vec2(0.0, 0.0), Vec2(0.0, 0.0), Vec2(0.0, 0.0), Vec2(0.0, 0.0), Vec2(0.0, 0.0), Vec2(0.0, 0.0), Vec2(0.0, 0.0)]",14,8,14,8,14,8
"[Vec2(0.0, 1.9073486e-8), Vec2(0.0, 0.0), Vec2(0.0, -2.7067142e-7), Vec2(0.0, -5.142757e-7), Vec2(0.0, -7.335195e-7), Vec2(0.0, -9.3083895e-7), Vec2(0.0, -1.1084264e-6)]",14,8,14,8,14,8
"[Vec2(0.0, 0.0), Vec2(0.0, 0.0), Vec2(-0.027788619, -0.048131306), Vec2(-0.08058699, -0.13958077), Vec2(-0.15589415, -0.27001664), Vec2(-0.2514592, -0.4355402), Vec2(-0.3652564, -0.6326427)]",9,0,9,0,9,0
"[Vec2(0.0, 0.0), Vec2(0.0, 0.0), Vec2(-0.02778865, -0.04813136), Vec2(-0.08058709, -0.13958095), Vec2(-0.15589434, -0.27001694), Vec2(-0.2514595, -0.4355407), Vec2(-0.36525682, -0.6326434)]",9,0,9,0,9,0
"[Vec2(-0.028007388, -0.0004300177), Vec2(0.0, 7.450581e-9), Vec2(-0.03212072, 0.062253352), Vec2(-0.09562662, 0.16177757), Vec2(-0.18737918, 0.29484558), Vec2(-0.30455375, 0.458103), Vec2(-0.4446081, 0.64853084)]",17,4,17,3,17,4
"[Vec2(-0.024986446, -0.0025592297), Vec2(-1.4901161e-8, -7.450581e-9), Vec2(-0.035686, 0.0682176), Vec2(-0.10108529, 0.17412417), Vec2(-0.19322655, 0.31395078), Vec2(-0.3094356, 0.48430547), Vec2(-0.44730562, 0.6821354)]",17,4,17,3,17,4
"[Vec2(0.03031689, -0.10525058), Vec2(-1.4901161e-8, 1.4901161e-8), Vec2(-0.07379009, 0.17393611), Vec2(-0.17897618, 0.37029552), Vec2(-0.3124187, 0.58683586), Vec2(-0.47129202, 0.82153916), Vec2(-0.653053, 1.0725889)]",24,4,24,1,24,4
"[Vec2(0.00013184547, -0.28050065), Vec2(0.0, 0.0), Vec2(-0.029691309, 0.33446348), Vec2(-0.06884843, 0.6874732), Vec2(-0.11455369, 1.039829), Vec2(-0.16577637, 1.3915212), Vec2(-0.22164726, 1.7425733)]",11,1,11,1,11,1
"[Vec2(0.0018029213, -0.27568543), Vec2(0.0, 0.0), Vec2(-0.027846843, 0.29607928), Vec2(-0.06539342, 0.6167079), Vec2(-0.11166969, 0.9594312), Vec2(-0.16430542, 1.31095), Vec2(-0.22122476, 1.6618593)]",7,0,7,0,7,0
"[Vec2(0.0429475, -0.41894698), Vec2(-2.9802322e-8, 0.0), Vec2(-0.019020468, 0.4701581), Vec2(0.0032431781, 0.80657744), Vec2(0.057450026, 1.1425874), Vec2(0.1396322, 1.4754221), Vec2(0.24595425, 1.8033378)]",4,2,4,2,4,2
